A-18277-25313       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25320       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25324       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25327       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25332       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25342       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25346       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25349       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25351       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25354       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25355       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25357       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25358       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25365       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18278-25822       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18290-29884       AMAZON.COM SERVICES, INC.WASHINGTON          70,845.00           
A-18322-42598       AMAZON.COM SERVICES, INC.WASHINGTON          101,837.00          
A-18347-52142       AKAMAI TECHNOLOGIES, INC.MASSACHUSETTS       158,184.00          
A-15259-18155       eBECS North America, Inc.GEORGIA             61,776.00           
A-17172-54448       S.S. WHITE TECHNOLOGIES INC.FLORIDA             57,616.00           
A-17223-74910       XYBERMED CORPORATIONNEW YORK            44,013.00           
A-18068-51076       LAUNCH IT CORP      IOWA                103,958.00          
A-18074-53002       SAFEWAY INC.        CALIFORNIA          50.45               
A-18075-53364       UBER TECHNOLOGIES INC.CALIFORNIA          102,669.00          
A-18100-61159       JASBIR SINGH        CONNECTICUT         20,946.00           
A-18101-62065       OMNIVISION TECHNOLOGIES, INC.CALIFORNIA          103,397.00          
A-18102-62602       OMNIVISION TECHNOLOGIES, INC.CALIFORNIA          110,802.00          
A-18102-62629       REGENCY HERITAGE NURSING AND REHABILITATION CENTERNEW JERSEY          29,224.00           
A-18109-65479       MESQUITE ISD        TEXAS               51,773.00           
A-18113-66670       FACEBOOK, INC.      CALIFORNIA          107,341.00          
A-18114-67526       RELIEF NURSING SERVICES, INC.CALIFORNIA          21,216.00           
A-18115-67990       ORACLE AMERICA, INC.CALIFORNIA          93,330.00           
A-18116-68405       ORACLE AMERICA, INC.CALIFORNIA          134,618.00          
A-18120-69579       MUY PIZZA HOUSTON, LLCTEXAS               17,222.00           
A-18121-70027       ORACLE AMERICA, INC.CALIFORNIA          139,277.00          
A-18122-70511       KEYSTONE LOGIC INC. GEORGIA             106,912.00          
A-18129-73341       FACEBOOK, INC.      CALIFORNIA          100,402.00          
A-18130-74052       MICROSOFT CORPORATIONWASHINGTON          112,549.00          
A-18135-75735       FACEBOOK, INC.      CALIFORNIA          77,106.00           
A-18141-77780       FACEBOOK, INC.      CALIFORNIA          107,341.00          
A-18142-78085       FACEBOOK, INC.      CALIFORNIA          107,341.00          
A-18142-78146       TSI EQUIPMENT, INC. TEXAS               37,274.00           
A-18142-78301       A&Z PHARMACEUTICAL  NEW YORK            74,339.00           
A-18142-78493       MICROSOFT CORPORATIONWASHINGTON          112,549.00          
A-18143-78773       MICROSOFT CORPORATIONWASHINGTON          93,038.00           
A-18144-79131       JESANI ACCOUNTING SERVICES INC.GEORGIA             48,963.00           
A-18149-80635       VALIDATION TECHNOLOGIES, INCCALIFORNIA          64,730.00           
A-18151-81520       FACEBOOK, INC.      CALIFORNIA          102,669.00          
A-18152-81878       EASTLAND FOOD CORPORATIONMARYLAND            49,254.00           
A-18152-81886       EASTLAND FOOD CORPORATIONMARYLAND            49,254.00           
A-18153-82110       ALIEF INDEPENDENT SCHOOL DISTRICTTEXAS               54,233.00           
A-18154-82150       ALIEF INDEPENDENT SCHOOL DISTRICTTEXAS               54,233.00           
A-18154-82194       ALIEF INDEPENDENT SCHOOL DISTRICTTEXAS               54,233.00           
A-18155-82288       ALIEF INDEPENDENT SCHOOL DISTRICTTEXAS               54,233.00           
A-18155-82745       MICROSOFT CORPORATIONWASHINGTON          93,038.00           
A-18156-83057       Muy Yum Endeavors LLCTEXAS               27,040.00           
A-18156-83164       MUY PIZZA HOUSTON, LLCTEXAS               17,389.00           
A-18156-83184       FACEBOOK, INC.      CALIFORNIA          100,402.00          
A-18158-84244       MICROSOFT CORPORATIONWASHINGTON          112,549.00          
A-18159-84612       MICROSOFT CORPORATIONWASHINGTON          112,549.00          
A-18163-85692       FACEBOOK, INC.      CALIFORNIA          107,341.00          
A-18165-86606       FACEBOOK, INC.      CALIFORNIA          107,341.00          
A-18166-87209       MICROSOFT CORPORATIONWASHINGTON          112,549.00          
A-18170-88266       MUY PIZZA HOUSTON, LLCTEXAS               17,389.00           
A-18172-89201       NATURE'S WAY NURSERY OF MIAMI, INCFLORIDA             18,450.00           
A-18172-89338       NATURE'S WAY NURSERY OF MIAMI, INCFLORIDA             18,450.00           
A-18173-89749       NATURE'S WAY NURSERY OF MIAMI, INCFLORIDA             18,450.00           
A-18173-89759       NATURE'S WAY NURSERY OF MIAMI, INCFLORIDA             18,450.00           
A-18173-89811       NATURE'S WAY NURSERY OF MIAMI, INCFLORIDA             18,450.00           
A-18173-89823       NATURE'S WAY NURSERY OF MIAMI, INCFLORIDA             18,450.00           
A-18175-90236       ADVANCED GEOPHYSICAL TECHNOLOGY INCTEXAS               93,413.00           
A-18175-90237       ADVANCED GEOPHYSICAL TECHNOLOGY INCTEXAS               93,413.00           
A-18179-92574       ANG INFOTECH LLC.   NEW JERSEY          127,878.00          
A-18191-95503       CISCO SYSTEMS, INC. CALIFORNIA          127,543.00          
A-18192-96107       BelGioioso Cheese, Inc.WISCONSIN           97,510.00           
A-18212-03107       QUALTRICS, LLC      UTAH                181,522.00          
A-18215-04097       CISCO SYSTEMS, INC. CALIFORNIA          147,597.00          
A-18215-04133       CISCO SYSTEMS, INC. CALIFORNIA          142,168.00          
A-18217-04606       CISCO SYSTEMS, INC. CALIFORNIA          83,928.00           
A-18218-04657       CISCO SYSTEMS, INC. CALIFORNIA          84,036.00           
A-18218-04685       CISCO SYSTEMS, INC. CALIFORNIA          105,789.00          
A-18219-05108       CISCO SYSTEMS, INC. CALIFORNIA          122,782.00          
A-18225-06920       CISCO SYSTEMS, INC. CALIFORNIA          139,872.00          
A-18225-06974       CISCO SYSTEMS, INC. CALIFORNIA          164,674.00          
A-18225-06994       CISCO SYSTEMS, INC. CALIFORNIA          164,674.00          
A-18235-10476       AMAZON WEB SERVICES, INC.WASHINGTON          107,266.00          
A-18242-13117       ARICENT TECHNOLOGIES HOLDINGS LTD.CALIFORNIA          157,019.00          
A-18242-13163       ARICENT TECHNOLOGIES HOLDINGS LTD.CALIFORNIA          155,147.00          
A-18242-13262       RR DONNELLEY & SONS COMPANYILLINOIS            115,482.00          
A-18242-13317       PAREXEL INTERNATIONALMASSACHUSETTS       88,982.00           
A-18242-13398       AMAZON.COM SERVICES, INC.WASHINGTON          99,382.00           
A-18243-13408       CISCO SYSTEMS, INC. CALIFORNIA          164,674.00          
A-18243-13536       GOOGLE LLC          CALIFORNIA          106,001.00          
A-18243-13656       ORACLE AMERICA, INC.CALIFORNIA          99,403.00           
A-18243-13687       VISA USA            CALIFORNIA          150,114.00          
A-18244-13784       BURNS & MCDONNELL ENGINEERING COMPANY, INC.MISSOURI            90,104.00           
A-18246-13933       CISCO SYSTEMS, INC. CALIFORNIA          127,254.00          
A-18247-14042       CISCO SYSTEMS, INC. CALIFORNIA          104,382.00          
A-18247-14060       CISCO SYSTEMS, INC. CALIFORNIA          152,267.00          
A-18247-14221       Siemens Industry, Inc.FLORIDA             87,672.00           
A-18247-14233       APEX DENTAL LLC     CONNECTICUT         90,002.00           
A-18248-14474       CAPGEMINI AMERICA, INC.ILLINOIS            110,198.00          
A-18248-14484       CISCO SYSTEMS, INC. CALIFORNIA          121,389.00          
A-18248-14577       Vsion Technologies,INCTEXAS               83,970.00           
A-18248-14653       QC Laboratories, IncTEXAS               89,565.00           
A-18248-14691       FACEBOOK, INC.      CALIFORNIA          94,557.00           
A-18248-14712       ROCKWELL AUTOMATION, INC.WISCONSIN           83,678.00           
A-18248-14901       BURNS & MCDONNELL ENGINEERING COMPANY, INC.MISSOURI            85,603.00           
A-18249-14946       ERNST & YOUNG U.S. LLPNEW JERSEY          107,744.00          
A-18249-14960       CISCO SYSTEMS, INC. CALIFORNIA          164,674.00          
A-18249-14966       DELOITTE CONSULTING LLPPENNSYLVANIA        90,563.00           
A-18249-14974       DELOITTE CONSULTING LLPPENNSYLVANIA        66,248.00           
A-18250-15521       CISCO SYSTEMS, INC. CALIFORNIA          104,602.00          
A-18250-15547       CISCO SYSTEMS, INC. CALIFORNIA          164,674.00          
A-18250-15593       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18250-15680       REI SYSTEMS, INC.   VIRGINIA            114,982.00          
A-18250-15897       Aetna Resources LLC CONNECTICUT         84,781.00           
A-18253-16137       AMAZON.COM SERVICES, INC.WASHINGTON          64,314.00           
A-18253-16335       ARCADIS U.S., INC.  COLORADO            66,019.00           
A-18253-16375       Aetna Resources LLC CONNECTICUT         64,626.00           
A-18253-16548       BOX, INC.           CALIFORNIA          125,736.00          
A-18254-16683       BLACKROCK FINANCIAL MANAGEMENTNEW YORK            102,800.00          
A-18254-16705       BLACKROCK INSTITUTIONAL TRUST COMPANY, N.A.DELAWARE            122,429.00          
A-18254-17085       PAREXEL INTERNATIONALMASSACHUSETTS       66,331.00           
A-18254-17126       PRICEWATERHOUSECOOPERSNEW YORK            85,488.00           
A-18254-17190       AMGEN INC.          CALIFORNIA          109,242.00          
A-18254-17196       PricewaterhouseCoopers Advisory Services LLCFLORIDA             103,813.00          
A-18254-17209       VIMEO, INC.         NEW YORK            128,066.00          
A-18255-17458       C&C INDUSTRIES, INC. D/B/A CNC FLOW CONTROLTEXAS               130,624.00          
A-18255-17491       FACEBOOK, INC.      CALIFORNIA          98,842.00           
A-18255-17606       DELL PRODUCTS LP    TEXAS               94,305.00           
A-18255-17775       University Diagnostic IncCALIFORNIA          82,222.00           
A-18256-17866       SAP AMERICA, INC.   PENNSYLVANIA        109,949.00          
A-18256-17945       COMMONWEALTH BANK OF AUSTRALIANEW YORK            64,626.00           
A-18267-21248       AMAZON.COM SERVICES, INC.WASHINGTON          65,333.00           
A-18267-21320       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18267-21356       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18268-21742       AMAZON.COM SERVICES, INC.WASHINGTON          132,080.00          
A-18268-22227       AMAZON.COM SERVICES, INC.WASHINGTON          95,555.00           
A-18269-22249       AMAZON.COM SERVICES, INC.WASHINGTON          99,382.00           
A-18269-22335       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18269-22593       EHANA LLC           MASSACHUSETTS       92,123.00           
A-18274-24299       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18275-24596       FLORIDA POWER AND LIGHT COMPANYFLORIDA             88,296.00           
A-18276-24823       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18276-24845       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18276-24981       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            119,704.00          
A-18277-25315       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25316       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25318       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25319       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18277-25321       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25322       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25323       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25328       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25330       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25331       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25333       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25335       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25339       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25343       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25347       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18277-25348       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25350       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18277-25352       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
